Time,Type,Price,Amount,RSI,Volatility,MarketState,Result,Profit,DayPnL
2025-01-24 13:09:00,SHORT,3350.73,10,78.1,4.65,Normal,LOSS,-10.0,-10.0
2025-01-24 13:10:00,SHORT,3351.36,10,78.5,4.46,Normal,LOSS,-10.0,-20.0
2025-01-24 13:11:00,SHORT,3353.76,10,79.9,4.57,Normal,LOSS,-10.0,-30.0
2025-01-24 13:12:00,SHORT,3363.88,15,84.5,4.94,Normal,LOSS,-15.0,-45.0
2025-01-24 13:12:00,STOP,0,0,0,0,STOPPED,STOP,0,-45.0
2025-01-25 11:31:00,SHORT,3309.5,10,75.1,2.55,Normal,LOSS,-10.0,-10.0
2025-01-25 11:32:00,SHORT,3311.48,10,77.3,2.59,Normal,WIN,8.0,-2.0
2025-01-25 11:33:00,SHORT,3313.93,10,79.7,2.66,Normal,WIN,8.0,6.0
2025-01-25 11:34:00,SHORT,3315.85,15,81.3,2.79,Normal,WIN,12.0,18.0
2025-01-25 11:38:00,SHORT,3315.48,10,76.1,2.88,Normal,LOSS,-10.0,8.0
2025-01-25 12:21:00,LONG,3305.21,10,29.3,1.57,Quiet,LOSS,-10.0,-2.0
2025-01-25 12:27:00,LONG,3302.4,10,27.2,1.64,Quiet,LOSS,-10.0,-12.0
2025-01-25 12:32:00,LONG,3301.2,10,28.9,1.68,Quiet,WIN,8.0,-4.0
2025-01-25 12:33:00,LONG,3301.0,10,28.5,1.77,Quiet,WIN,8.0,4.0
2025-01-25 12:58:00,LONG,3299.18,10,29.7,1.78,Quiet,LOSS,-10.0,-6.0
2025-01-25 12:59:00,LONG,3296.91,10,25.7,1.85,Quiet,LOSS,-10.0,-16.0
2025-01-25 13:08:00,LONG,3291.55,10,23.9,2.49,Normal,WIN,8.0,-8.0
2025-01-25 17:51:00,LONG,3280.01,10,30.0,1.83,Quiet,WIN,8.0,0.0
2025-01-25 18:06:00,LONG,3273.33,10,24.9,2.36,Normal,WIN,8.0,8.0
2025-01-25 18:07:00,LONG,3272.96,10,24.4,2.42,Normal,WIN,8.0,16.0
2025-01-25 18:09:00,LONG,3272.32,10,24.0,2.63,Normal,WIN,8.0,24.0
2025-01-26 09:35:00,SHORT,3335.12,10,72.8,1.96,Quiet,WIN,8.0,8.0
2025-01-26 09:36:00,SHORT,3336.01,10,74.2,1.96,Quiet,WIN,8.0,16.0
2025-01-26 11:02:00,SHORT,3330.24,10,70.4,1.62,Quiet,WIN,8.0,24.0
2025-01-26 11:03:00,SHORT,3331.57,10,72.6,1.64,Quiet,WIN,8.0,32.0
2025-01-26 11:39:00,SHORT,3335.24,10,71.3,1.55,Quiet,LOSS,-10.0,22.0
2025-01-26 11:40:00,SHORT,3336.48,10,73.6,1.57,Quiet,LOSS,-10.0,12.0
2025-01-26 11:42:00,SHORT,3337.7,10,73.2,1.76,Quiet,LOSS,-10.0,2.0
2025-01-26 11:43:00,SHORT,3339.1,15,75.5,1.85,Quiet,LOSS,-15.0,-13.0
2025-01-26 11:44:00,SHORT,3341.69,15,79.0,1.89,Quiet,WIN,12.0,-1.0
2025-01-26 12:28:00,SHORT,3357.66,15,81.4,2.78,Normal,WIN,12.0,11.0
2025-01-26 12:29:00,SHORT,3358.31,15,82.0,2.89,Normal,WIN,12.0,23.0
2025-01-26 12:30:00,SHORT,3358.07,15,81.0,2.90,Normal,WIN,12.0,35.0
2025-01-26 15:30:00,LONG,3334.92,10,28.8,1.44,Quiet,LOSS,-10.0,25.0
2025-01-26 15:32:00,LONG,3333.3,10,28.6,1.60,Quiet,WIN,8.0,33.0
2025-01-26 15:33:00,LONG,3331.11,15,24.4,1.65,Quiet,WIN,12.0,45.0
2025-01-26 15:34:00,LONG,3331.51,10,26.5,1.77,Quiet,WIN,8.0,53.0
2025-01-26 16:35:00,LONG,3322.67,15,23.9,1.84,Quiet,WIN,12.0,65.0
2025-01-26 16:36:00,LONG,3322.82,15,24.5,1.95,Quiet,WIN,12.0,77.0
2025-01-26 17:25:00,LONG,3318.0,10,27.7,1.92,Quiet,LOSS,-10.0,67.0
2025-01-26 17:26:00,LONG,3305.16,15,15.2,2.50,Normal,WIN,12.0,79.0
2025-01-26 17:34:00,LONG,3304.16,10,23.3,3.22,Normal,LOSS,-10.0,69.0
2025-01-26 17:41:00,LONG,3296.0,10,21.6,4.43,Normal,WIN,8.0,77.0
2025-01-26 17:42:00,LONG,3297.0,10,24.4,4.50,Normal,WIN,8.0,85.0
2025-01-26 18:41:00,LONG,3294.78,10,29.4,1.84,Quiet,WIN,8.0,93.0
2025-01-26 19:22:00,SHORT,3312.84,10,72.6,1.91,Quiet,WIN,8.0,101.0
2025-01-26 19:23:00,SHORT,3313.9,10,74.4,1.97,Quiet,WIN,8.0,109.0
2025-01-27 13:51:00,LONG,3118.59,10,23.5,5.80,Normal,WIN,8.0,8.0
2025-01-27 13:52:00,LONG,3116.62,10,22.4,5.92,Normal,WIN,8.0,16.0
2025-01-27 13:53:00,LONG,3117.17,10,23.5,6.02,Normal,WIN,8.0,24.0
2025-01-27 15:21:00,LONG,3042.18,10,24.9,9.55,Normal,WIN,8.0,32.0
2025-01-27 17:09:00,SHORT,3088.39,10,76.3,5.03,Normal,WIN,8.0,40.0
2025-01-27 18:36:00,LONG,3043.58,10,24.8,5.13,Normal,WIN,8.0,48.0
2025-01-28 12:38:00,SHORT,3221.66,10,76.6,3.17,Normal,WIN,8.0,8.0
2025-01-28 14:43:00,LONG,3190.46,10,23.1,2.55,Normal,WIN,8.0,16.0
2025-01-28 16:06:00,LONG,3184.89,10,24.5,2.74,Normal,WIN,8.0,24.0
2025-01-28 16:07:00,LONG,3183.37,10,22.7,2.59,Normal,WIN,8.0,32.0
2025-01-28 19:33:00,LONG,3183.35,15,24.5,1.93,Quiet,LOSS,-15.0,17.0
2025-01-28 19:34:00,LONG,3182.5,15,23.0,1.92,Quiet,WIN,12.0,29.0
2025-01-28 19:35:00,LONG,3183.08,10,26.3,1.93,Quiet,WIN,8.0,37.0
2025-01-28 19:36:00,LONG,3179.67,10,20.7,2.17,Normal,WIN,8.0,45.0
2025-01-28 19:37:00,LONG,3178.95,15,19.7,2.23,Normal,WIN,12.0,57.0
2025-01-29 17:28:00,LONG,3125.86,10,23.8,2.86,Normal,WIN,8.0,8.0
2025-01-29 17:29:00,LONG,3123.92,10,21.6,2.88,Normal,WIN,8.0,16.0
2025-01-29 19:57:00,LONG,3130.92,10,26.6,1.92,Quiet,WIN,8.0,24.0
2025-01-30 11:55:00,SHORT,3195.62,10,78.8,4.36,Normal,LOSS,-10.0,-10.0
2025-01-30 11:56:00,SHORT,3195.03,10,77.6,4.45,Normal,LOSS,-10.0,-20.0
2025-01-30 12:00:00,SHORT,3200.29,10,77.8,4.81,Normal,WIN,8.0,-12.0
2025-01-30 12:01:00,SHORT,3210.32,15,82.6,5.38,Normal,WIN,12.0,0.0
2025-01-30 12:02:00,SHORT,3214.47,15,84.1,5.67,Normal,WIN,12.0,12.0
2025-01-30 14:00:00,SHORT,3193.77,10,70.6,1.97,Quiet,LOSS,-10.0,2.0
2025-01-30 14:07:00,SHORT,3199.89,10,77.4,2.35,Normal,WIN,8.0,10.0
2025-01-30 14:08:00,SHORT,3199.47,10,75.3,2.33,Normal,WIN,8.0,18.0
2025-01-30 14:10:00,SHORT,3200.55,10,75.1,2.39,Normal,WIN,8.0,26.0
2025-01-30 14:11:00,SHORT,3203.84,10,79.6,2.62,Normal,WIN,8.0,34.0
2025-01-30 14:12:00,SHORT,3203.65,10,78.7,2.55,Normal,WIN,8.0,42.0
2025-01-30 16:01:00,SHORT,3193.94,10,73.3,1.97,Quiet,WIN,8.0,50.0
2025-01-30 16:02:00,SHORT,3193.71,10,72.5,1.96,Quiet,WIN,8.0,58.0
2025-01-30 16:54:00,SHORT,3207.49,10,79.7,2.79,Normal,WIN,8.0,66.0
2025-01-31 12:54:00,LONG,3215.17,10,24.9,2.39,Normal,WIN,8.0,8.0
2025-01-31 12:57:00,LONG,3214.01,10,24.7,2.32,Normal,WIN,8.0,16.0
2025-01-31 12:58:00,LONG,3213.69,10,24.2,2.27,Normal,WIN,8.0,24.0
2025-01-31 13:12:00,SHORT,3234.08,10,76.7,2.87,Normal,LOSS,-10.0,14.0
2025-01-31 13:13:00,SHORT,3233.81,10,75.7,2.88,Normal,LOSS,-10.0,4.0
2025-01-31 13:14:00,SHORT,3233.86,10,75.8,2.83,Normal,LOSS,-10.0,-6.0
2025-01-31 13:16:00,SHORT,3235.5,10,75.8,2.82,Normal,LOSS,-10.0,-16.0
2025-01-31 13:17:00,SHORT,3235.51,10,75.8,2.78,Normal,LOSS,-10.0,-26.0
2025-01-31 14:43:00,SHORT,3262.54,10,77.0,2.84,Normal,LOSS,-10.0,-36.0
2025-01-31 14:44:00,SHORT,3263.61,10,78.0,2.95,Normal,WIN,8.0,-28.0
2025-01-31 14:45:00,SHORT,3266.11,15,80.2,3.08,Normal,WIN,12.0,-16.0
2025-01-31 14:47:00,SHORT,3269.67,10,78.8,3.41,Normal,WIN,8.0,-8.0
2025-01-31 14:48:00,SHORT,3269.18,10,77.4,3.43,Normal,WIN,8.0,0.0
2025-01-31 15:44:00,LONG,3249.89,10,25.0,2.31,Normal,LOSS,-10.0,-10.0
2025-01-31 15:45:00,LONG,3247.42,10,21.8,2.32,Normal,LOSS,-10.0,-20.0
2025-01-31 15:50:00,LONG,3242.72,10,22.8,2.55,Normal,LOSS,-10.0,-30.0
2025-01-31 15:51:00,LONG,3241.74,10,21.8,2.52,Normal,LOSS,-10.0,-40.0
2025-01-31 15:54:00,LONG,3238.9,10,22.6,2.65,Normal,WIN,8.0,-32.0
2025-01-31 15:55:00,LONG,3238.0,10,21.7,2.66,Normal,WIN,8.0,-24.0
2025-01-31 17:32:00,SHORT,3260.39,10,79.9,3.05,Normal,LOSS,-10.0,-34.0
2025-01-31 17:33:00,SHORT,3260.2,10,79.3,3.34,Normal,LOSS,-10.0,-44.0
2025-01-31 17:34:00,SHORT,3266.37,15,83.2,3.84,Normal,WIN,12.0,-32.0
2025-01-31 17:35:00,SHORT,3266.86,15,83.4,3.86,Normal,WIN,12.0,-20.0
2025-01-31 17:36:00,SHORT,3266.75,15,83.1,3.82,Normal,WIN,12.0,-8.0
2025-01-31 19:08:00,SHORT,3288.51,15,81.0,3.05,Normal,LOSS,-15.0,-23.0
2025-01-31 19:09:00,SHORT,3293.16,15,83.7,3.25,Normal,LOSS,-15.0,-38.0
2025-01-31 19:10:00,SHORT,3300.29,15,86.8,3.68,Normal,LOSS,-15.0,-53.0
2025-01-31 19:10:00,STOP,0,0,0,0,STOPPED,STOP,0,-53.0
2025-02-01 11:05:00,LONG,3299.22,10,25.0,3.00,Normal,LOSS,-10.0,-10.0
2025-02-01 11:06:00,LONG,3297.5,10,23.0,3.01,Normal,WIN,8.0,-2.0
2025-02-01 11:07:00,LONG,3295.58,10,21.0,3.13,Normal,WIN,8.0,6.0
2025-02-01 11:08:00,LONG,3296.24,10,23.5,3.17,Normal,LOSS,-10.0,-4.0
2025-02-01 14:43:00,LONG,3279.0,10,23.6,2.53,Normal,WIN,8.0,4.0
2025-02-01 14:47:00,LONG,3273.68,10,23.5,3.32,Normal,WIN,8.0,12.0
2025-02-01 17:49:00,LONG,3224.15,10,23.3,5.62,Normal,WIN,8.0,20.0
2025-02-02 11:14:00,LONG,3083.2,10,22.7,6.13,Normal,WIN,8.0,8.0
2025-02-02 16:41:00,SHORT,3121.01,10,76.0,3.52,Normal,WIN,8.0,16.0
2025-02-02 19:28:00,LONG,3080.17,10,22.2,3.98,Normal,LOSS,-10.0,6.0
2025-02-02 19:30:00,LONG,3078.31,10,24.2,3.99,Normal,LOSS,-10.0,-4.0
2025-02-02 19:38:00,LONG,3059.95,10,22.6,6.31,Normal,LOSS,-10.0,-14.0
2025-02-03 09:47:00,LONG,2708.75,10,24.2,16.00,Normal,LOSS,-10.0,-10.0
2025-02-03 09:49:00,LONG,2638.38,15,15.2,21.28,Normal,LOSS,-15.0,-25.0
2025-02-03 09:50:00,LONG,2654.59,10,23.2,23.64,Normal,LOSS,-10.0,-35.0
2025-02-03 09:53:00,LONG,2634.99,10,23.8,27.16,Normal,LOSS,-10.0,-45.0
2025-02-03 09:53:00,STOP,0,0,0,0,STOPPED,STOP,0,-45.0
2025-02-04 10:58:00,LONG,2801.25,10,24.7,5.12,Normal,WIN,8.0,8.0
2025-02-04 11:05:00,LONG,2794.68,10,24.7,5.22,Normal,WIN,8.0,16.0
2025-02-04 13:06:00,LONG,2756.9,15,15.6,6.32,Normal,LOSS,-15.0,1.0
2025-02-04 13:07:00,LONG,2761.27,10,21.5,6.34,Normal,LOSS,-10.0,-9.0
2025-02-04 13:09:00,LONG,2748.9,10,24.5,8.02,Normal,LOSS,-10.0,-19.0
2025-02-04 13:10:00,LONG,2744.69,10,23.2,8.46,Normal,LOSS,-10.0,-29.0
2025-02-04 13:12:00,LONG,2735.99,10,23.4,9.36,Normal,LOSS,-10.0,-39.0
2025-02-04 13:16:00,LONG,2712.44,15,18.5,11.68,Normal,LOSS,-15.0,-54.0
2025-02-04 13:16:00,STOP,0,0,0,0,STOPPED,STOP,0,-54.0
2025-02-05 09:05:00,SHORT,2760.21,10,76.7,6.99,Normal,WIN,8.0,8.0
2025-02-05 09:06:00,SHORT,2760.09,10,76.4,7.13,Normal,WIN,8.0,16.0
2025-02-05 13:52:00,SHORT,2738.79,10,77.3,3.76,Normal,LOSS,-10.0,6.0
2025-02-05 13:54:00,SHORT,2755.73,15,85.3,4.47,Normal,LOSS,-15.0,-9.0
2025-02-05 13:55:00,SHORT,2761.9,15,87.1,4.89,Normal,LOSS,-15.0,-24.0
2025-02-05 13:57:00,SHORT,2777.46,15,90.5,6.41,Normal,WIN,12.0,-12.0
2025-02-05 13:58:00,SHORT,2782.21,15,91.3,6.93,Normal,WIN,12.0,0.0
2025-02-05 15:51:00,SHORT,2771.8,10,75.0,4.08,Normal,WIN,8.0,8.0
2025-02-05 17:41:00,LONG,2748.22,10,24.2,4.95,Normal,WIN,8.0,16.0
2025-02-05 19:19:00,SHORT,2813.79,10,78.0,6.09,Normal,WIN,8.0,24.0
2025-02-06 09:22:00,SHORT,2807.81,10,78.4,5.58,Normal,WIN,8.0,8.0
2025-02-06 09:23:00,SHORT,2809.19,10,78.8,5.50,Normal,WIN,8.0,16.0
2025-02-06 13:40:00,SHORT,2846.23,10,77.5,3.57,Normal,WIN,8.0,24.0
2025-02-06 19:35:00,LONG,2794.21,10,25.0,4.31,Normal,WIN,8.0,32.0
2025-02-07 09:55:00,SHORT,2731.76,10,77.7,4.86,Normal,WIN,8.0,8.0
2025-02-07 09:57:00,SHORT,2735.01,10,76.5,5.38,Normal,WIN,8.0,16.0
2025-02-07 11:37:00,LONG,2703.19,10,23.5,3.32,Normal,WIN,8.0,24.0
2025-02-07 14:29:00,LONG,2681.44,10,23.1,3.96,Normal,LOSS,-10.0,14.0
2025-02-07 14:30:00,LONG,2681.25,10,22.9,4.14,Normal,LOSS,-10.0,4.0
2025-02-07 14:36:00,LONG,2668.64,10,20.6,5.34,Normal,WIN,8.0,12.0
2025-02-07 15:08:00,SHORT,2707.45,10,75.4,3.91,Normal,LOSS,-10.0,2.0
2025-02-07 15:19:00,SHORT,2718.3,10,76.8,4.32,Normal,WIN,8.0,10.0
2025-02-07 15:20:00,SHORT,2723.22,10,79.9,4.83,Normal,WIN,8.0,18.0
2025-02-08 13:04:00,LONG,2625.35,10,24.0,2.24,Normal,WIN,8.0,8.0
2025-02-08 14:57:00,LONG,2606.88,10,22.7,2.60,Normal,WIN,8.0,16.0
2025-02-08 15:17:00,LONG,2596.6,10,24.2,3.79,Normal,WIN,8.0,24.0
2025-02-08 15:48:00,SHORT,2630.7,10,75.7,3.35,Normal,LOSS,-10.0,14.0
2025-02-09 09:12:00,SHORT,2643.89,10,75.2,2.32,Normal,LOSS,-10.0,-10.0
2025-02-09 09:13:00,SHORT,2646.55,10,78.7,2.33,Normal,LOSS,-10.0,-20.0
2025-02-09 09:14:00,SHORT,2646.93,10,79.2,2.51,Normal,LOSS,-10.0,-30.0
2025-02-09 09:15:00,SHORT,2649.18,15,81.6,2.53,Normal,LOSS,-15.0,-45.0
2025-02-09 09:15:00,STOP,0,0,0,0,STOPPED,STOP,0,-45.0
2025-02-10 09:17:00,LONG,2622.69,10,22.7,3.84,Normal,LOSS,-10.0,-10.0
2025-02-10 09:21:00,LONG,2615.12,10,21.5,4.05,Normal,LOSS,-10.0,-20.0
2025-02-10 09:22:00,LONG,2615.78,10,23.2,4.11,Normal,LOSS,-10.0,-30.0
2025-02-10 09:23:00,LONG,2616.04,10,23.8,4.02,Normal,WIN,8.0,-22.0
2025-02-10 09:24:00,LONG,2613.8,10,21.9,4.11,Normal,WIN,8.0,-14.0
2025-02-10 09:27:00,LONG,2611.32,10,22.2,4.19,Normal,LOSS,-10.0,-24.0
2025-02-10 09:43:00,LONG,2588.79,15,19.6,4.92,Normal,LOSS,-15.0,-39.0
2025-02-10 09:45:00,LONG,2571.16,15,13.5,6.08,Normal,WIN,12.0,-27.0
2025-02-10 09:46:00,LONG,2562.03,15,11.4,6.58,Normal,WIN,12.0,-15.0
2025-02-10 09:49:00,LONG,2567.0,10,24.7,7.76,Normal,WIN,8.0,-7.0
2025-02-10 11:28:00,SHORT,2613.86,10,76.4,3.91,Normal,LOSS,-10.0,-17.0
2025-02-10 11:29:00,SHORT,2613.58,10,75.6,3.92,Normal,LOSS,-10.0,-27.0
2025-02-10 11:31:00,SHORT,2616.14,10,76.5,4.04,Normal,LOSS,-10.0,-37.0
2025-02-10 11:32:00,SHORT,2627.47,15,83.3,4.51,Normal,LOSS,-15.0,-52.0
2025-02-10 11:32:00,STOP,0,0,0,0,STOPPED,STOP,0,-52.0
2025-02-11 10:24:00,LONG,2673.26,10,24.0,3.59,Normal,LOSS,-10.0,-10.0
2025-02-11 10:34:00,LONG,2667.67,10,24.9,4.05,Normal,WIN,8.0,-2.0
2025-02-11 11:38:00,LONG,2668.04,10,29.5,1.89,Quiet,WIN,8.0,6.0
2025-02-11 12:02:00,SHORT,2679.62,10,73.7,1.23,Quiet,WIN,8.0,14.0
2025-02-11 12:03:00,SHORT,2680.77,15,76.6,1.32,Quiet,WIN,12.0,26.0
2025-02-11 12:04:00,SHORT,2680.66,15,75.8,1.34,Quiet,WIN,12.0,38.0
2025-02-11 12:07:00,SHORT,2682.09,10,70.7,1.51,Quiet,WIN,8.0,46.0
2025-02-11 12:08:00,SHORT,2683.14,10,72.9,1.52,Quiet,WIN,8.0,54.0
2025-02-11 13:56:00,SHORT,2713.16,10,76.0,2.92,Normal,WIN,8.0,62.0
2025-02-11 13:57:00,SHORT,2719.7,15,81.4,3.10,Normal,WIN,12.0,74.0
2025-02-11 13:59:00,SHORT,2718.3,10,75.2,3.40,Normal,WIN,8.0,82.0
2025-02-12 09:50:00,SHORT,2619.69,10,75.1,2.96,Normal,WIN,8.0,8.0
2025-02-12 09:51:00,SHORT,2621.32,10,77.1,2.89,Normal,WIN,8.0,16.0
2025-02-12 10:57:00,LONG,2588.54,10,20.8,2.68,Normal,LOSS,-10.0,6.0
2025-02-12 16:10:00,SHORT,2629.17,10,75.1,2.34,Normal,WIN,8.0,14.0
2025-02-12 16:12:00,SHORT,2634.26,10,78.3,2.76,Normal,WIN,8.0,22.0
2025-02-12 17:22:00,LONG,2609.99,10,20.5,2.51,Normal,WIN,8.0,30.0
2025-02-12 17:23:00,LONG,2610.57,10,23.0,2.54,Normal,WIN,8.0,38.0
2025-02-12 17:24:00,LONG,2610.29,10,22.6,2.50,Normal,WIN,8.0,46.0
2025-02-12 17:54:00,SHORT,2625.52,10,71.2,1.92,Quiet,LOSS,-10.0,36.0
2025-02-12 17:55:00,SHORT,2625.5,10,71.1,1.95,Quiet,LOSS,-10.0,26.0
2025-02-12 17:56:00,SHORT,2628.18,10,76.0,2.07,Normal,WIN,8.0,34.0
2025-02-12 17:57:00,SHORT,2630.13,10,78.8,2.14,Normal,WIN,8.0,42.0
2025-02-12 17:58:00,SHORT,2629.65,10,76.4,2.09,Normal,WIN,8.0,50.0
2025-02-12 18:51:00,LONG,2614.17,10,24.3,2.57,Normal,WIN,8.0,58.0
2025-02-12 18:52:00,LONG,2611.95,10,21.6,2.57,Normal,WIN,8.0,66.0
2025-02-13 12:36:00,LONG,2730.08,10,23.5,2.45,Normal,LOSS,-10.0,-10.0
2025-02-13 12:56:00,LONG,2714.03,15,19.2,3.14,Normal,LOSS,-15.0,-25.0
2025-02-13 13:07:00,LONG,2706.2,10,23.3,4.06,Normal,WIN,8.0,-17.0
2025-02-13 13:08:00,LONG,2703.86,10,21.3,4.26,Normal,WIN,8.0,-9.0
2025-02-13 13:09:00,LONG,2704.35,10,23.2,3.98,Normal,WIN,8.0,-1.0
2025-02-13 14:35:00,LONG,2698.87,10,21.1,2.90,Normal,LOSS,-10.0,-11.0
2025-02-13 14:36:00,LONG,2695.2,15,18.3,3.31,Normal,LOSS,-15.0,-26.0
2025-02-13 14:37:00,LONG,2696.24,10,21.4,3.32,Normal,LOSS,-10.0,-36.0
2025-02-13 14:39:00,LONG,2691.01,10,21.5,3.81,Normal,LOSS,-10.0,-46.0
2025-02-13 14:39:00,STOP,0,0,0,0,STOPPED,STOP,0,-46.0
2025-02-14 10:11:00,SHORT,2703.96,10,76.7,4.08,Normal,WIN,8.0,8.0
2025-02-14 11:48:00,SHORT,2708.56,10,79.7,2.34,Normal,LOSS,-10.0,-2.0
2025-02-14 11:49:00,SHORT,2708.68,10,79.9,2.50,Normal,LOSS,-10.0,-12.0
2025-02-14 11:50:00,SHORT,2715.91,15,85.8,2.99,Normal,WIN,12.0,0.0
2025-02-14 11:51:00,SHORT,2718.38,15,87.2,2.95,Normal,WIN,12.0,12.0
2025-02-14 11:56:00,SHORT,2718.07,10,77.2,3.26,Normal,WIN,8.0,20.0
2025-02-14 16:28:00,SHORT,2712.01,10,75.7,2.52,Normal,WIN,8.0,28.0
2025-02-14 16:29:00,SHORT,2713.67,10,77.6,2.68,Normal,WIN,8.0,36.0
2025-02-14 19:07:00,LONG,2697.59,10,29.6,1.91,Quiet,WIN,8.0,44.0
2025-02-14 19:09:00,LONG,2697.02,10,30.0,1.90,Quiet,WIN,8.0,52.0
2025-02-15 10:52:00,SHORT,2731.83,10,74.7,1.66,Quiet,WIN,8.0,8.0
2025-02-15 11:08:00,SHORT,2735.66,10,72.8,1.98,Quiet,WIN,8.0,16.0
2025-02-15 11:10:00,SHORT,2736.7,10,74.7,1.96,Quiet,WIN,8.0,24.0
2025-02-15 11:36:00,LONG,2724.45,10,29.9,1.46,Quiet,WIN,8.0,32.0
2025-02-15 11:37:00,LONG,2724.16,10,29.1,1.41,Quiet,WIN,8.0,40.0
2025-02-15 11:39:00,LONG,2724.19,10,30.0,1.31,Quiet,WIN,8.0,48.0
2025-02-15 12:41:00,LONG,2719.19,10,26.6,1.42,Quiet,WIN,8.0,56.0
2025-02-15 12:42:00,LONG,2719.35,10,27.4,1.42,Quiet,WIN,8.0,64.0
2025-02-15 12:43:00,LONG,2718.51,10,25.8,1.44,Quiet,WIN,8.0,72.0
2025-02-15 12:44:00,LONG,2718.5,10,25.8,1.43,Quiet,WIN,8.0,80.0
2025-02-15 12:45:00,LONG,2718.31,10,25.4,1.47,Quiet,WIN,8.0,88.0
2025-02-15 14:34:00,LONG,2712.56,10,25.3,1.24,Quiet,LOSS,-10.0,78.0
2025-02-15 14:35:00,LONG,2712.12,15,24.3,1.25,Quiet,LOSS,-15.0,63.0
2025-02-15 14:36:00,LONG,2711.33,15,22.7,1.30,Quiet,LOSS,-15.0,48.0
2025-02-15 14:37:00,LONG,2711.61,15,24.6,1.31,Quiet,LOSS,-15.0,33.0
2025-02-15 14:38:00,LONG,2711.45,15,24.2,1.31,Quiet,LOSS,-15.0,18.0
2025-02-15 14:46:00,LONG,2709.43,10,27.3,1.56,Quiet,LOSS,-10.0,8.0
2025-02-15 14:47:00,LONG,2708.24,15,24.6,1.59,Quiet,LOSS,-15.0,-7.0
2025-02-15 14:48:00,LONG,2707.73,15,23.5,1.70,Quiet,LOSS,-15.0,-22.0
2025-02-15 14:49:00,LONG,2707.19,15,22.4,1.77,Quiet,WIN,12.0,-10.0
2025-02-15 14:50:00,LONG,2706.89,15,21.8,1.82,Quiet,WIN,12.0,2.0
2025-02-15 14:58:00,LONG,2703.92,10,26.3,1.76,Quiet,WIN,8.0,10.0
2025-02-15 15:11:00,LONG,2697.28,10,22.8,2.28,Normal,LOSS,-10.0,0.0
2025-02-15 16:35:00,SHORT,2709.18,10,70.2,1.55,Quiet,WIN,8.0,8.0
2025-02-15 16:36:00,SHORT,2709.62,10,71.2,1.59,Quiet,WIN,8.0,16.0
2025-02-15 16:37:00,SHORT,2710.11,10,72.2,1.69,Quiet,WIN,8.0,24.0
2025-02-15 17:27:00,LONG,2698.78,10,28.8,1.79,Quiet,WIN,8.0,32.0
2025-02-15 17:28:00,LONG,2698.66,10,28.5,1.83,Quiet,WIN,8.0,40.0
2025-02-15 17:29:00,LONG,2698.53,10,28.2,1.79,Quiet,WIN,8.0,48.0
2025-02-15 17:31:00,LONG,2698.1,10,28.8,1.66,Quiet,WIN,8.0,56.0
2025-02-15 17:32:00,LONG,2696.35,15,24.7,1.77,Quiet,WIN,12.0,68.0
2025-02-15 18:49:00,SHORT,2707.99,10,70.3,1.52,Quiet,LOSS,-10.0,58.0
2025-02-15 18:51:00,SHORT,2709.71,10,73.6,1.50,Quiet,WIN,8.0,66.0
2025-02-15 18:52:00,SHORT,2709.48,10,72.4,1.57,Quiet,WIN,8.0,74.0
2025-02-15 18:53:00,SHORT,2710.12,10,73.7,1.58,Quiet,WIN,8.0,82.0
2025-02-15 18:54:00,SHORT,2710.11,10,73.7,1.53,Quiet,WIN,8.0,90.0
2025-02-15 19:23:00,LONG,2701.02,10,29.7,1.77,Quiet,WIN,8.0,98.0
2025-02-15 19:25:00,LONG,2699.02,10,26.5,1.81,Quiet,WIN,8.0,106.0
2025-02-16 09:58:00,SHORT,2700.67,10,72.0,1.22,Quiet,WIN,8.0,8.0
2025-02-16 10:16:00,LONG,2690.31,10,27.6,1.44,Quiet,WIN,8.0,16.0
2025-02-16 10:17:00,LONG,2690.29,10,27.5,1.42,Quiet,WIN,8.0,24.0
2025-02-16 10:50:00,LONG,2690.76,10,28.6,1.08,Quiet,LOSS,-10.0,14.0
2025-02-16 10:51:00,LONG,2690.36,10,27.5,1.07,Quiet,LOSS,-10.0,4.0
2025-02-16 10:52:00,LONG,2690.12,10,26.8,1.06,Quiet,LOSS,-10.0,-6.0
2025-02-16 10:54:00,LONG,2689.49,10,27.9,1.07,Quiet,WIN,8.0,2.0
2025-02-16 10:55:00,LONG,2687.23,15,22.7,1.24,Quiet,WIN,12.0,14.0
2025-02-16 11:47:00,SHORT,2696.03,10,70.3,1.38,Quiet,LOSS,-10.0,4.0
2025-02-16 11:49:00,SHORT,2696.66,10,71.3,1.42,Quiet,LOSS,-10.0,-6.0
2025-02-16 11:50:00,SHORT,2696.66,10,71.3,1.37,Quiet,LOSS,-10.0,-16.0
2025-02-16 11:51:00,SHORT,2697.8,10,74.1,1.35,Quiet,LOSS,-10.0,-26.0
2025-02-16 12:04:00,SHORT,2698.72,10,70.2,0.98,Quiet,LOSS,-10.0,-36.0
2025-02-16 12:05:00,SHORT,2700.47,15,75.6,1.01,Quiet,WIN,12.0,-24.0
2025-02-16 12:06:00,SHORT,2700.5,15,75.8,1.00,Quiet,LOSS,-15.0,-39.0
2025-02-16 12:07:00,SHORT,2700.79,15,76.5,0.87,Quiet,WIN,12.0,-27.0
